,sentence,target,target_type,category,polarity,opinin_Term
765,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhosas,explicit,FOOD QUALITY,negative,dissapointing
766,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhal,explicit,FOOD QUALITY,negative,dissapointing
767,Food is great .,Food,explicit,FOOD QUALITY,positive,great
768,"The hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",hot dogs,explicit,FOOD QUALITY,positive,good
769,"The hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",pork croquette sandwich,explicit,FOOD QUALITY,positive,fantastic
770,"The hot dogs are good , yes , but the reason to get over here is the fantastic pork croquette sandwich , perfect on its supermarket squishy bun .",bun,explicit,FOOD QUALITY,positive,perfect
771,I highly recommend it .,NULL,implicit,RESTAURANT GENERAL,positive,recommend
772,Great Indian Food !,Indian Food,explicit,FOOD QUALITY,positive,Great
773,Always good drinks and service is pretty good ;,drinks,explicit,DRINKS QUALITY,positive,good
774,Always good drinks and service is pretty good ;,service,explicit,SERVICE GENERAL,positive,good
775,Highly recommend it !,NULL,implicit,RESTAURANT GENERAL,positive,recommend
776,"They are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",NULL,implicit,SERVICE GENERAL,negative,not helpful in the least
777,The prices were CHEAP compared to the quality of service and food .,NULL,implicit,RESTAURANT PRICES,positive,CHEAP
778,it is not consistent .,NULL,implicit,RESTAURANT GENERAL,negative,not consistent
779,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,food,explicit,FOOD QUALITY,positive,amazing
780,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,selection of wines,explicit,DRINKS STYLE_OPTIONS,positive,extensive
781,The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,Chef 's tasting menu,explicit,FOOD QUALITY,positive,favourite
782,The worst excuse for Japanese food I 've ever encountered .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,worst
783,I plan on stopping by next week as well .,NULL,implicit,RESTAURANT GENERAL,positive,stopping by next week
784,supercilious scorn is in .,NULL,implicit,SERVICE GENERAL,negative,supercilious scorn
785,Someone else recommended the dessert - we also left that .,dessert,explicit,FOOD QUALITY,negative,recommended
786,This is the perfect date spot for Williamsburg couples .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,perfect
787,Indoor was very cozy and cute .,Indoor,explicit,AMBIENCE GENERAL,positive,cozy
788,Indoor was very cozy and cute .,Indoor,explicit,AMBIENCE GENERAL,positive,cute
789,The only beverage we did receive was water in dirty glasses !,NULL,implicit,SERVICE GENERAL,negative,dirty
790,it's one of our favorite places to eat in NY .,NULL,implicit,RESTAURANT GENERAL,positive,favorite
791,Salads are a delicious way to begin the meal .,Salads,explicit,FOOD QUALITY,positive,delicious
792,wont come back again for sure !,NULL,implicit,RESTAURANT GENERAL,negative,wont come back
793,This place has ruined me for neighborhood sushi .,sushi,explicit,FOOD QUALITY,positive,ruined
794,Me and my girls will definitely go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
795,"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",bruschettas,explicit,FOOD STYLE_OPTIONS,positive,large selection
796,"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",paninis,explicit,FOOD STYLE_OPTIONS,positive,large selection
797,"The large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",tramezzinis,explicit,FOOD STYLE_OPTIONS,positive,large selection
798,I HAVE NEVER EVER HAD SUCH AN UNPLEASANT EXPERIENCE .,NULL,implicit,RESTAURANT GENERAL,negative,UNPLEASANT
799,"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino,explicit,FOOD QUALITY,negative,difficult to eat
800,The veal and the mushrooms were cooked perfectly .,veal,explicit,FOOD QUALITY,positive,perfectly
801,The veal and the mushrooms were cooked perfectly .,mushrooms,explicit,FOOD QUALITY,positive,perfectly
802,My friend devoured her chicken and mashed potatos .,chicken and mashed potatos,explicit,FOOD QUALITY,positive,devoured
803,The food is all shared so we get to order together and eat together .,food,explicit,FOOD STYLE_OPTIONS,positive,shared
804,And really large portions .,portions,explicit,FOOD STYLE_OPTIONS,positive,large
805,Not cheap but very yummy .,NULL,implicit,FOOD PRICES,negative,Not cheap
806,Not cheap but very yummy .,NULL,implicit,FOOD QUALITY,positive,yummy
807,"Wish NY had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",NULL,implicit,AMBIENCE GENERAL,positive,intimate
808,"Wish NY had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",food,explicit,FOOD QUALITY,positive,superb
809,"Wish NY had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",NULL,implicit,RESTAURANT GENERAL,positive,worth
810,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",staff,explicit,SERVICE GENERAL,negative,good
811,"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",Cafe Noir,explicit,RESTAURANT GENERAL,positive,great
812,"Seating is always prompt , though the restaurant does fill up in the evening .",Seating,explicit,SERVICE GENERAL,positive,prompt
813,"The DJ is awesome , I have been there for my birthday and a bunch of other times with friends and I keep going back .",DJ,explicit,AMBIENCE GENERAL,positive,awesome
814,"The DJ is awesome , I have been there for my birthday and a bunch of other times with friends and I keep going back .",NULL,implicit,RESTAURANT GENERAL,positive,keep going back
815,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",anti-pasta,explicit,FOOD QUALITY,positive,excellent
816,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",calamari,explicit,FOOD QUALITY,positive,excellent
817,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains,explicit,FOOD QUALITY,positive,excellent
818,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains,explicit,FOOD STYLE_OPTIONS,positive,excellent
819,A great choice at any cost and a great deal .,NULL,implicit,RESTAURANT GENERAL,positive,A great choice
820,A great choice at any cost and a great deal .,NULL,implicit,RESTAURANT PRICES,positive,a great deal
821,love the food .,food,explicit,FOOD QUALITY,positive,love
822,The reason there are 4 different results on citysearch for the same place is because they keep trying to start a new thread so they can stock it with positive reviews .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,start a new thread so they can stock it with positive reviews
823,She just nodded and walked off .,NULL,implicit,SERVICE GENERAL,negative,walked off
824,"Not only is the cuisine the best around , the service has always been attentive and charming .",cuisine,explicit,FOOD QUALITY,positive,best
825,"Not only is the cuisine the best around , the service has always been attentive and charming .",service,explicit,SERVICE GENERAL,positive,attentive
826,"Not only is the cuisine the best around , the service has always been attentive and charming .",service,explicit,SERVICE GENERAL,positive,charming
827,too large for just two people but nothing was left .,NULL,implicit,FOOD STYLE_OPTIONS,negative,too large
828,too large for just two people but nothing was left .,NULL,implicit,FOOD QUALITY,positive,nothing was left
829,We didn 't look like the other patrons in there so unfortunately I think that may have been part of the problem .,NULL,implicit,RESTAURANT MISCELLANEOUS,negative,unfortunately
830,"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,explicit,RESTAURANT MISCELLANEOUS,positive,great
831,The flavors are amazing and the value is phenomenal .,NULL,implicit,FOOD QUALITY,positive,amazing
832,The flavors are amazing and the value is phenomenal .,NULL,implicit,FOOD PRICES,positive,phenomenal
833,Ambiance relaxed and stylish .,Ambiance,explicit,AMBIENCE GENERAL,positive,relaxed
834,Ambiance relaxed and stylish .,Ambiance,explicit,AMBIENCE GENERAL,positive,stylish
835,I highly recommend visiting this restaurant and having dinner and drinks !,restaurant,explicit,RESTAURANT GENERAL,positive,recommend
836,I had a huge group for my birthday and we were well taken care of .,NULL,implicit,SERVICE GENERAL,positive,well taken care of
837,Just go to Yamato and order the Red Dragon Roll .,Yamato,explicit,RESTAURANT GENERAL,positive,Just go
838,"The pasta was well cooked , didn't have enough sauce though or flavor .",pasta,explicit,FOOD QUALITY,positive,well cooked
839,"The pasta was well cooked , didn't have enough sauce though or flavor .",pasta,explicit,FOOD QUALITY,negative,didn't have enough sauce
840,The wine the service was very good too .,wine,explicit,DRINKS QUALITY,positive,good
841,The wine the service was very good too .,service,explicit,SERVICE GENERAL,positive,good
842,Suan is a great place that I often take my friends ( classmates ) too .,Suan,explicit,RESTAURANT GENERAL,positive,great
843,By far the best salad I have had in a fast food restaurant .,salad,explicit,FOOD QUALITY,positive,best
844,I would highly recommend it .,NULL,implicit,RESTAURANT GENERAL,positive,highly recommend
845,Way below average,NULL,implicit,RESTAURANT GENERAL,negative,below average
846,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,cute
847,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,quaint
848,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience,explicit,AMBIENCE GENERAL,positive,good
849,Food is great and inexpensive .,Food,explicit,FOOD QUALITY,positive,great
850,Food is great and inexpensive .,Food,explicit,FOOD PRICES,positive,inexpensive
